NP|<DT-NN-NNS> ==> DT NP|<NN-NNS> [1.0]
NP ==> DT NP|<ADJP-QP--NONE-> [6.49371732848E-5]
NP ==> JJ NN [0.0158446702815]
FRAG|<NP-,-NP-,-PP-,-PP-.> ==> NP FRAG|<,-NP-,-PP-,-PP-.> [1.0]
VP ==> VBD VP|<RB-ADVP> [6.90846286701E-5]
ADJP ==> JJ JJS [8.09061488673E-4]
NP|<NN-VBZ> ==> NN VBZ [1.0]
VP ==> VBN VP|<NP-PP-PP-PRN-S> [6.90846286701E-5]
VP|<NP-ADVP-ADVP> ==> NP VP|<ADVP-ADVP> [1.0]
NP ==> `` NP|<JJ-NNS-,-''> [3.24685866424E-5]
VP|<ADVP-,-PP-,-SBAR> ==> ADVP VP|<,-PP-,-SBAR> [1.0]
VP ==> VBD VP|<PP-,-S> [6.90846286701E-5]
S|<,-''-PRN-,-``-CC-S-.-''> ==> , S|<''-PRN-,-``-CC-S-.-''> [1.0]
QP ==> RB QP|<$-CD> [0.00632911392405]
S|<,-PP-PP-,-NP-VP-.> ==> , S|<PP-PP-,-NP-VP-.> [1.0]
VP ==> VBD VP|<S-,-''-S> [6.90846286701E-5]
VP ==> VBN VP|<NP-``-PP> [6.90846286701E-5]
QP ==> RB DT [0.00126582278481]
VP ==> VBZ VP|<NP-``-PP-''> [6.90846286701E-5]
NP|<,-NNP-CC-NNP-NNS> ==> , NP|<NNP-CC-NNP-NNS> [1.0]
VP|<VBG-ADVP> ==> VBG ADVP [1.0]
QP ==> RB QP|<CD-CD> [0.00759493670886]
NP ==> NP NP|<``-S-''> [3.24685866424E-5]
S ==> NP S|<,-SBAR-,-ADVP-VP-.> [1.05630083448E-4]
VP ==> VBN VP|<CC-VBN-NP-PP> [6.90846286701E-5]
NP ==> QP NP|<NN-NNS> [1.62342933212E-4]
NP ==> NN NP|<CD-NN-NNS> [3.24685866424E-5]
NP ==> DT NP|<JJ-NNP-NNP-NN> [2.27280106497E-4]
SINV|<S-.-''-VP-NP-.> ==> S SINV|<.-''-VP-NP-.> [1.0]
S|<ADVP-PP> ==> ADVP PP [1.0]
S|<,-SBAR-,-NP-VP-.-''> ==> , S|<SBAR-,-NP-VP-.-''> [1.0]
VP|<NP-,-SBAR-,-PP> ==> NP VP|<,-SBAR-,-PP> [1.0]
VP|<VBN-NP-PP-ADVP> ==> VBN VP|<NP-PP-ADVP> [1.0]
ADVP ==> RB NN [5.359056806E-4]
NP ==> DT NP|<NN-CD--NN--JJ-NN> [3.24685866424E-5]
VP|<PRT-NP-,-PP> ==> PRT VP|<NP-,-PP> [1.0]
VP ==> ADVP VP|<VBN-ADVP-PP> [6.90846286701E-5]
NX ==> JJ NX|<JJ-NN> [0.00729927007299]
S|<NP-''-VP-:> ==> NP S|<''-VP-:> [1.0]
NP ==> JJ NP|<NN-NN-NP-NNP> [3.24685866424E-5]
NX ==> NX NX|<CC-NX-PP> [0.00729927007299]
VP|<PP-,-PP-NP> ==> PP VP|<,-PP-NP> [1.0]
S ==> S S|<,-CC-S> [0.00348579275378]
S ==> NP S|<``-ADVP-VP> [1.05630083448E-4]
NP ==> DT NP|<VBG-NNS-NN> [3.24685866424E-5]
S|<,-S> ==> , S [1.0]
NP ==> NP NP|<PP-:-PP-:-SBAR> [3.24685866424E-5]
NP|<NNP-NNP-NNP-JJ-NN> ==> NNP NP|<NNP-NNP-JJ-NN> [1.0]
NX|<,-NX-,-NX> ==> , NX|<NX-,-NX> [1.0]
NP|<IN-NNP-NNP-IN-NNP> ==> IN NP|<NNP-NNP-IN-NNP> [1.0]
VP|<ADVP-PP-PRN-SBAR> ==> ADVP VP|<PP-PRN-SBAR> [1.0]
NP ==> DT NP|<JJR-NN-NN> [1.2987434657E-4]
NP|<VBN-VBG-NN> ==> VBN NP|<VBG-NN> [1.0]
NP|<JJ-NN-CC-NN> ==> JJ NP|<NN-CC-NN> [1.0]
S ==> S S|<IN-S> [1.05630083448E-4]
VP|<CC-,-VP> ==> CC VP|<,-VP> [1.0]
NP ==> DT NP|<NAC-NN> [5.51965972921E-4]
NP|<CC-NN-NN-,> ==> CC NP|<NN-NN-,> [1.0]
NP ==> PRP$ NP|<VBN-NNS-NN> [3.24685866424E-5]
S ==> PP S|<,-S-,-NP-ADVP-VP-.> [1.05630083448E-4]
S|<``-SBAR-,-NP-VP-.-''> ==> `` S|<SBAR-,-NP-VP-.-''> [1.0]
UCP|<CC-ADVP> ==> CC ADVP [1.0]
VP|<CC-VBP-NP> ==> CC VP|<VBP-NP> [1.0]
NP ==> NP NP|<NNP-NNP-NNP-CD> [3.24685866424E-5]
NP|<''-NNS> ==> '' NNS [1.0]
NP ==> PRP$ NP|<NNP-CC-NNP-NN> [3.24685866424E-5]
SBAR|<IN-S> ==> IN S [1.0]
SINV ==> VBD SINV|<NP-VP> [0.0050]
NP|<''-CC-NP> ==> '' NP|<CC-NP> [1.0]
VP|<VB-''-NP-PP> ==> VB VP|<''-NP-PP> [1.0]
NP ==> NP NP|<NNS-CC-NN> [3.24685866424E-5]
NAC ==> NNP NAC|<NNP-,-NNP-,> [0.156862745098]
VP ==> VB VP|<-NP> [6.90846286701E-5]
NP|<,-NP-,-VP-.> ==> , NP|<NP-,-VP-.> [1.0]
PP|<``-ADJP> ==> `` ADJP [1.0]
SINV|<''-VP-NP> ==> '' SINV|<VP-NP> [1.0]
NP|<JJ-NNP-NN-POS> ==> JJ NP|<NNP-NN-POS> [1.0]
NP|<CC-JJS> ==> CC JJS [1.0]
NP|<JJ-CD-NNS> ==> JJ NP|<CD-NNS> [1.0]
NP ==> DT NP|<VBN-NN-NN-NN-NN> [3.24685866424E-5]
VP|<ADVP-PP-:-S> ==> ADVP VP|<PP-:-S> [1.0]
NP|<NN-CC-NN-NN-POS> ==> NN NP|<CC-NN-NN-POS> [1.0]
S|<S-CC-S-.-''> ==> S S|<CC-S-.-''> [1.0]
NP ==> NP NP|<,-''-NP> [6.49371732848E-5]
NP|<PP-,-VP> ==> PP NP|<,-VP> [1.0]
ADVP ==> NP ADVP|<CC-ADVP> [5.359056806E-4]
NP|<NNS-RB> ==> NNS RB [1.0]
NP|<,-''-NP-SBAR> ==> , NP|<''-NP-SBAR> [1.0]
NP|<CC-NP-,-CONJP-NP> ==> CC NP|<NP-,-CONJP-NP> [1.0]
SBAR ==> VBN SBAR|<,-IN-S> [4.42282176028E-4]
NP|<:-NP-:-NP-:-NP> ==> : NP|<NP-:-NP-:-NP> [1.0]
NP|<NP-,-NP-.> ==> NP NP|<,-NP-.> [1.0]
NP ==> DT NP|<NNP-NNPS> [2.27280106497E-4]
NP ==> NNP NP|<NNS-NNS> [6.49371732848E-5]
SINV ==> S SINV|<,-VP-NP-.> [0.125]
NP|<VBN-NNP-NN-NN> ==> VBN NP|<NNP-NN-NN> [1.0]
NP|<JJ-NNS> ==> JJ NNS [1.0]
QP|<NNS-TO-CD> ==> NNS QP|<TO-CD> [1.0]
NP|<CC-NP-CC-NP-CC-NP> ==> CC NP|<NP-CC-NP-CC-NP> [1.0]
VP ==> VBD VP|<NP-PP-NP> [2.0725388601E-4]
S|<S-:-S-.> ==> S S|<:-S-.> [1.0]
NP ==> VBN NN [5.84434559564E-4]
NP|<CC-DT> ==> CC DT [1.0]
NP ==> PRP$ NP|<NNS-POS> [9.74057599273E-5]
NX|<NN-NNS> ==> NN NNS [1.0]
ADJP ==> RBR ADJP|<JJ-PP> [0.00323624595469]
NP ==> CD NP|<CD-JJ-NNS> [3.24685866424E-5]
VP|<PP-NP-ADVP> ==> PP VP|<NP-ADVP> [1.0]
ADJP ==> NNP ADJP|<,-NNP-JJ> [8.09061488673E-4]
S|<PP-PRN-NP-VP-.> ==> PP S|<PRN-NP-VP-.> [1.0]
SINV|<NP-VP-NP-.> ==> NP SINV|<VP-NP-.> [1.0]
VP ==> VP VP|<,-ADVP-VP> [6.90846286701E-5]
NP|<VP-PP> ==> VP PP [1.0]
S ==> NP S|<``-NP> [1.05630083448E-4]
ADVP ==> ADVP SBAR [0.0042872454448]
NP ==> JJ NP|<CC-DT-NN> [9.74057599273E-5]
VP|<,-SBAR-ADVP> ==> , VP|<SBAR-ADVP> [1.0]
NP ==> DT NP|<JJ-NN-NN-.> [3.24685866424E-5]
NP ==> RB NP|<JJ-NNS> [2.27280106497E-4]
NP ==> `` NP|<JJ-NN-''> [3.24685866424E-5]
NP|<CD-,> ==> CD , [1.0]
NP ==> NP NP|<''-PP> [2.59748693139E-4]
VP ==> VBG VP|<,-VBG-CC-VBG-NP> [6.90846286701E-5]
VP ==> RB VP|<VBG-PP> [6.90846286701E-5]
NP|<,-NNS-CC-NNS> ==> , NP|<NNS-CC-NNS> [1.0]
PP ==> TO S [0.00128727740828]
NP ==> DT NP|<VBG-NN-POS> [3.24685866424E-5]
SBAR|<SBAR-CC-SBAR> ==> SBAR SBAR|<CC-SBAR> [1.0]
VP ==> VBD VP|<PP-PP-PP-ADVP> [6.90846286701E-5]
VP ==> VBG VP|<ADVP-SBAR> [1.3816925734E-4]
NP|<NN-JJ-JJ-NNS> ==> NN NP|<JJ-JJ-NNS> [1.0]
NP ==> S NP|<,-NP> [3.24685866424E-5]
NP ==> NN CD [3.57154453067E-4]
NP|<NN-''-NN> ==> NN NP|<''-NN> [1.0]
VP ==> PP VP|<VBZ-VP> [1.3816925734E-4]
NP ==> RB NP|<DT-JJ-NNP-CD-NN> [3.24685866424E-5]
NP ==> RB NN [2.27280106497E-4]
NP|<CD-JJS-JJ-NNS> ==> CD NP|<JJS-JJ-NNS> [1.0]
NP|<JJ-NN-NN> ==> JJ NP|<NN-NN> [1.0]
PRN ==> : S [0.00334448160535]
NP ==> RB NP|<JJ-NN> [1.62342933212E-4]
NP|<DT-NN> ==> DT NN [1.0]
FRAG|<CC-FRAG> ==> CC FRAG [1.0]
ADVP|<IN-NN> ==> IN NN [1.0]
NP|<JJ-``-NN-NN-''> ==> JJ NP|<``-NN-NN-''> [1.0]
PP|<``-NP> ==> `` NP [1.0]
VP|<PRT-ADVP-PP> ==> PRT VP|<ADVP-PP> [1.0]
NP|<SBAR-,-PP-PP> ==> SBAR NP|<,-PP-PP> [1.0]
S ==> `` S|<S-CC-S-.-''> [2.11260166896E-4]
S ==> `` S|<S-,-''-PRN-,-``-CC-S-.-''> [1.05630083448E-4]
VP ==> VBN VP|<PP-ADVP-PP> [6.90846286701E-5]
NP ==> DT NP|<NP-CC-NP> [4.87028799636E-4]
VP|<NP-ADVP-,-S> ==> NP VP|<ADVP-,-S> [1.0]
VP ==> VBD VP|<NP-PP-SBAR-:-PP> [6.90846286701E-5]
S ==> SBAR S|<VP-.-''> [1.05630083448E-4]
VP ==> VBG VP|<NP-ADVP-S> [6.90846286701E-5]
NP ==> DT NP|<JJ-CD-NNS> [0.00120133770577]
NP|<NP-,-ADJP-,-VP-.> ==> NP NP|<,-ADJP-,-VP-.> [1.0]
NX ==> NX NX|<,-NX-,-NX> [0.00729927007299]
S ==> `` S|<S-,-NP-VP-.-''> [1.05630083448E-4]
VP ==> VBD VP|<PRT-NP-PP-PP> [6.90846286701E-5]
NP|<NP-,-NP-,-NP-CC-NP> ==> NP NP|<,-NP-,-NP-CC-NP> [1.0]
SINV|<ADVP-VP-NP> ==> ADVP SINV|<VP-NP> [1.0]
NP|<VBN-NNS-NN> ==> VBN NP|<NNS-NN> [1.0]
NP ==> LST NP|<DT-JJ-NN-NN> [3.24685866424E-5]
VP ==> VBD VP|<ADVP-PP-SBAR> [6.90846286701E-5]
NP|<NN-,-NNS-CC-NN-NNS> ==> NN NP|<,-NNS-CC-NN-NNS> [1.0]
PP ==> PP PP|<,-''-CC-PP> [1.07273117357E-4]
NP|<NP-PP-,> ==> NP NP|<PP-,> [1.0]
NP ==> JJ NP|<NN-NNS-NN> [3.24685866424E-5]
VP|<RB-ADJP-S> ==> RB VP|<ADJP-S> [1.0]
NP|<NNP-NNPS-NNP-:> ==> NNP NP|<NNPS-NNP-:> [1.0]
NP ==> NNP NP|<,-NNP-CC-NNP-NNP-NNP> [3.24685866424E-5]
NP ==> DT NP|<JJ-NNP-NNS-NNS> [6.49371732848E-5]
VP|<NP-,-SBAR-SBAR> ==> NP VP|<,-SBAR-SBAR> [1.0]
VP ==> VB VP|<NP-PP-S> [2.0725388601E-4]
PP ==> IN PP|<NP-PP> [5.36365586784E-4]
NP|<,-NP-.> ==> , NP|<NP-.> [1.0]
NP|<NN-.> ==> NN . [1.0]
NP ==> JJ NP|<NNS-,-NN-CC-NNS> [3.24685866424E-5]
VP ==> VP VP|<CC-ADVP-VP> [3.45423143351E-4]
FRAG ==> NP FRAG|<,-SBAR-.> [0.00961538461538]
NP ==> NP NP|<PRN-,-NP-,> [3.24685866424E-5]
UCP|<,-CC-SBAR> ==> , UCP|<CC-SBAR> [1.0]
PP ==> TO ADJP [1.07273117357E-4]
S ==> S S|<:-SBARQ> [1.05630083448E-4]
NP ==> DT NP|<ADJP-NAC-NN> [3.24685866424E-5]
VP ==> VBZ VP|<ADJP-NP-PP> [6.90846286701E-5]
NP ==> NP NP|<VP-PP> [1.94811519855E-4]
PRN|<NP-:> ==> NP : [1.0]
WHNP ==> WDT NN [0.00266311584554]
VP|<CC-VBD-NP> ==> CC VP|<VBD-NP> [1.0]
S|<''-PRN-,-CC-S-.-''> ==> '' S|<PRN-,-CC-S-.-''> [1.0]
VP|<CC-VB-NP-S> ==> CC VP|<VB-NP-S> [1.0]
VP ==> VBP VP|<``-VP> [6.90846286701E-5]
FRAG|<FRAG-:-FRAG-:-FRAG-:-FRAG-.> ==> FRAG FRAG|<:-FRAG-:-FRAG-:-FRAG-.> [1.0]
X|<NNP-NNP-CD-NN> ==> NNP X|<NNP-CD-NN> [1.0]
VP ==> VBN VP|<PP-,-SBAR> [6.90846286701E-5]
NP ==> NP NP|<NP-PP> [2.59748693139E-4]
NP|<CD-NN-NNS-NN> ==> CD NP|<NN-NNS-NN> [1.0]
SQ|<NP-ADVP-ADVP> ==> NP SQ|<ADVP-ADVP> [1.0]
VP|<ADVP-ADVP-S> ==> ADVP VP|<ADVP-S> [1.0]
VP ==> VBN VP|<NP-PP-PRN> [6.90846286701E-5]
SQ|<NP-.> ==> NP . [1.0]
UCP|<CC-NP> ==> CC NP [1.0]
NP ==> ADJP NP|<NNP-NNP-CC-NNPS> [3.24685866424E-5]
S|<,-SBAR-.> ==> , S|<SBAR-.> [1.0]
VP ==> VBD VP|<PP-NP-PP-PP> [6.90846286701E-5]
UCP ==> ADJP UCP|<CC-NP> [0.102564102564]
ADJP ==> $ ADJP|<CD-JJ> [8.09061488673E-4]
NX|<CC--NX> ==> CC NX|<-NX> [1.0]
PRN ==> : PRN|<S-:> [0.0167224080268]
NP ==> JJ NP|<JJ-JJ-NN-NNS> [3.24685866424E-5]
QP|<CD-CC-JJR> ==> CD QP|<CC-JJR> [1.0]
FRAG|<:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-CC-FRAG> ==> : FRAG|<FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-CC-FRAG> [1.0]
NP ==> NP NP|<,-CC-NP-,-PP> [6.49371732848E-5]
S ==> CC S|<NP-,-S-,-ADVP-VP-.> [1.05630083448E-4]
NP|<JJ-NNP-NN-NNS> ==> JJ NP|<NNP-NN-NNS> [1.0]
NP ==> DT NP|<JJ-,-JJ-NN> [5.19497386279E-4]
VP|<``-ADJP> ==> `` ADJP [1.0]
FRAG|<RB-NP-,-RB-NP> ==> RB FRAG|<NP-,-RB-NP> [1.0]
VP ==> VBD VP|<NP-PP-,-S-,-PP> [6.90846286701E-5]
NP ==> NP NP|<JJ-,-JJ-NNP> [3.24685866424E-5]
QP ==> DT QP|<JJ-CD> [0.00126582278481]
NP ==> PRP$ NP|<CD-CC-CD> [3.24685866424E-5]
FRAG|<NP-:-FRAG-:-FRAG-:-FRAG-.> ==> NP FRAG|<:-FRAG-:-FRAG-:-FRAG-.> [1.0]
SQ|<VP-.> ==> VP . [1.0]
NP|<JJ-''-NNS> ==> JJ NP|<''-NNS> [1.0]
VP|<ADJP-PP-PP-NP> ==> ADJP VP|<PP-PP-NP> [1.0]
NP ==> NP NP|<PP-RRC> [3.24685866424E-5]
SBAR|<NN-SBAR> ==> NN SBAR [1.0]
VP ==> VBD VP|<CC-VBD-NP-PP> [6.90846286701E-5]
SBAR|<CC-SBAR> ==> CC SBAR [1.0]
NP ==> `` NP|<NP-,-''-PP-:-NP> [3.24685866424E-5]
VP ==> VBG VP|<NP-PP-PP> [9.67184801382E-4]
VP ==> VB VP|<ADVP-NP-ADVP> [6.90846286701E-5]
S ==> NP S|<VP-SBAR> [1.05630083448E-4]
S|<``-NP-VP> ==> `` S|<NP-VP> [1.0]
NP ==> PRP NP|<NN-NN> [3.24685866424E-5]
VP|<PP-PP-PP> ==> PP VP|<PP-PP> [1.0]
NP|<NN-NNS-NN-,-NN-CC-NN-NN-NNS> ==> NN NP|<NNS-NN-,-NN-CC-NN-NN-NNS> [1.0]
S|<:-.> ==> : . [1.0]
VP|<PRN-CC-VB-PRN-NP-PP-PP> ==> PRN VP|<CC-VB-PRN-NP-PP-PP> [1.0]
NP|<JJ-JJ-CD-NN> ==> JJ NP|<JJ-CD-NN> [1.0]
PP|<,-CC-RB-PP> ==> , PP|<CC-RB-PP> [1.0]
VP|<ADVP-''-PP> ==> ADVP VP|<''-PP> [1.0]
SBARQ|<RP-FRAG-.> ==> RP SBARQ|<FRAG-.> [1.0]
NP ==> DT NP|<JJ-NN-NN-NN> [3.24685866424E-4]
S ==> NP S|<IN-VP> [1.05630083448E-4]
NP|<''-NN-NNS> ==> '' NP|<NN-NNS> [1.0]
VP ==> VBZ VP|<RB-NP-ADVP-SBAR> [1.3816925734E-4]
VP ==> `` VP|<VBN-PP-''-SBAR> [6.90846286701E-5]
VP|<CC-VB-NP> ==> CC VP|<VB-NP> [1.0]
VP ==> VBD VP|<NP-PP-SBAR-ADVP> [6.90846286701E-5]
S|<NP-PP-VP> ==> NP S|<PP-VP> [1.0]
ADVP ==> RBR NP [5.359056806E-4]
VP ==> VBD ADJP [0.00504317789292]
NP|<NNP-NNP-NNP-NNP-NNP-NNP> ==> NNP NP|<NNP-NNP-NNP-NNP-NNP> [1.0]
SINV|<NP-,-S-.> ==> NP SINV|<,-S-.> [1.0]
QP|<CD-NN-CC-CD-NN> ==> CD QP|<NN-CC-CD-NN> [1.0]
VP ==> VBD VP|<SBAR-NP> [2.0725388601E-4]
S ==> PP S|<,-S-CC-S> [2.11260166896E-4]
NP ==> ADJP NP|<JJ-NN> [1.62342933212E-4]
NP ==> CD NP|<NN-CC-CD-NN-NNS> [3.24685866424E-5]
NP ==> NP NP|<PP-,-VP-,> [9.74057599273E-5]
NP|<CD-NNP-NNP-NNP-NNP> ==> CD NP|<NNP-NNP-NNP-NNP> [1.0]
VP ==> VBG VP|<NP-PP-PP-NP> [6.90846286701E-5]
S|<,-SBAR-,-NP-ADVP-VP-.> ==> , S|<SBAR-,-NP-ADVP-VP-.> [1.0]
ADVP ==> ADVP RB [5.359056806E-4]
PP|<,-PP> ==> , PP [1.0]
S|<,-NP-VP> ==> , S|<NP-VP> [1.0]
VP|<VP-VP> ==> VP VP [1.0]
NP ==> DT NP|<ADJP-``-JJ-''-NN> [3.24685866424E-5]
NP|<NNP-CD-NN-NN-NN> ==> NNP NP|<CD-NN-NN-NN> [1.0]
NP ==> DT NP|<JJ-NNP-NNP-CC-NNP-NNP-NN> [3.24685866424E-5]
VP ==> VBP VP|<PRT-SBAR> [6.90846286701E-5]
PRN|<INTJ-NP-,> ==> INTJ PRN|<NP-,> [1.0]
S|<VP-:-S-.> ==> VP S|<:-S-.> [1.0]
QP ==> JJR QP|<IN-DT-NN> [0.00126582278481]
NP|<NAC-NN-NN> ==> NAC NP|<NN-NN> [1.0]
NP|<VBG-JJ-NN> ==> VBG NP|<JJ-NN> [1.0]
FRAG|<FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-CC-FRAG> ==> FRAG FRAG|<:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-CC-FRAG> [1.0]
VP|<PRT-S> ==> PRT S [1.0]
NP ==> CD NP|<NN-NN> [2.92217279782E-4]
NX|<NX-,-NX-CC-NX> ==> NX NX|<,-NX-CC-NX> [1.0]
QP|<CD-TO-#-CD-CD> ==> CD QP|<TO-#-CD-CD> [1.0]
NP|<JJ-NNP> ==> JJ NNP [1.0]
NP|<PP-''-SBAR> ==> PP NP|<''-SBAR> [1.0]
NP ==> NNS NP|<,-CC-RB-NNS> [3.24685866424E-5]
NP|<PP-,-ADVP> ==> PP NP|<,-ADVP> [1.0]
NP ==> RB NP|<NN-NNS> [6.49371732848E-5]
S ==> S S|<,-S> [3.16890250343E-4]
NP|<``-NN-NN> ==> `` NP|<NN-NN> [1.0]
VP|<NP-PP-''-SBAR> ==> NP VP|<PP-''-SBAR> [1.0]
VP ==> ADVP VP|<VBN-PP> [2.7633851468E-4]
VP|<NP-S-PP> ==> NP VP|<S-PP> [1.0]
VP ==> ADVP VP|<VB-PP-ADVP> [6.90846286701E-5]
SBAR ==> IN PP [4.42282176028E-4]
NP|<CC-JJ-NN-NN-NNS> ==> CC NP|<JJ-NN-NN-NNS> [1.0]
VP|<ADVP-PP-SBAR> ==> ADVP VP|<PP-SBAR> [1.0]
NP ==> JJ NP|<VBG-NNS> [1.94811519855E-4]
NP|<NN-CD--NN--NN-NN-NN> ==> NN NP|<CD--NN--NN-NN-NN> [1.0]
VP|<PP-PP-NP-PP> ==> PP VP|<PP-NP-PP> [1.0]
VP ==> VBZ VP|<NP-PP> [0.00518134715026]
NP ==> DT NP|<CD-CC-CD> [6.49371732848E-5]
FRAG ==> S FRAG|<:-NP-.> [0.00961538461538]
NP|<,-UCP-PP> ==> , NP|<UCP-PP> [1.0]
ADJP ==> RBR JJ [0.0218446601942]
CONJP ==> RB JJ [0.04]
VP ==> VBZ VP|<ADJP-SBAR> [9.67184801382E-4]
NP|<``-JJ-NN> ==> `` NP|<JJ-NN> [1.0]
VP|<ADJP-PRN> ==> ADJP PRN [1.0]
QP|<TO-CD-CD> ==> TO QP|<CD-CD> [1.0]
VP|<NP-``-PP> ==> NP VP|<``-PP> [1.0]
S|<CC-FRAG-.> ==> CC S|<FRAG-.> [1.0]
NP|<,-CD-,> ==> , NP|<CD-,> [1.0]
PP|<JJ-PP> ==> JJ PP [1.0]
NP ==> DT NP|<NNP-NNS-CC-NN-NN> [3.24685866424E-5]
QP ==> $ QP|<CD-CD> [0.439240506329]
VP ==> VBD VP|<RB-ADVP-VP> [5.52677029361E-4]
S ==> NP S|<PRN-ADVP-VP-.-''> [1.05630083448E-4]
WHNP|<NP-,> ==> NP , [1.0]
NP|<:-NP-:> ==> : NP|<NP-:> [1.0]
NP|<NP-:-NP-:-NP-:-CC-NP> ==> NP NP|<:-NP-:-NP-:-CC-NP> [1.0]
NP|<``-PP> ==> `` PP [1.0]
VP ==> VBP VP|<ADVP-SBAR> [6.90846286701E-5]
NX ==> NNP NX|<NNP-PP> [0.014598540146]
NP ==> NP NP|<CONJP-NP> [2.27280106497E-4]
VP ==> ADVP VP|<JJ-NP-PP> [6.90846286701E-5]
NP|<,-NN-CC-NN-NN-,> ==> , NP|<NN-CC-NN-NN-,> [1.0]
VP|<VP-,-VP-CC-VP> ==> VP VP|<,-VP-CC-VP> [1.0]
VP|<NP-SBAR-SBAR> ==> NP VP|<SBAR-SBAR> [1.0]
NP ==> NN NP|<NN-CC-NNS> [3.24685866424E-5]
VP ==> POS ADJP [6.90846286701E-5]
NP|<NNP-NNP-JJ-VBN-NN> ==> NNP NP|<NNP-JJ-VBN-NN> [1.0]
S|<,-NP-VP-PRN> ==> , S|<NP-VP-PRN> [1.0]
NP ==> NN NP|<:-IN-NN-.> [3.24685866424E-5]
S|<PRN-S-CC-S-.> ==> PRN S|<S-CC-S-.> [1.0]
VP ==> VB VP|<''-SBAR> [6.90846286701E-5]
VP|<PRN-VP> ==> PRN VP [1.0]
VP ==> VBD VP|<NP-PRN-SBAR> [6.90846286701E-5]
NP|<NN-NN-JJ-NNS> ==> NN NP|<NN-JJ-NNS> [1.0]
ADJP ==> `` ADJP|<JJ-''> [8.09061488673E-4]
SINV|<INTJ-:-ADVP-VP-NP-PP-,-S> ==> INTJ SINV|<:-ADVP-VP-NP-PP-,-S> [1.0]
VP|<ADVP-ADVP-VP> ==> ADVP VP|<ADVP-VP> [1.0]
VP ==> VBN VP|<NP-ADVP-NP> [6.90846286701E-5]
ADVP|<PP-S> ==> PP S [1.0]
VP|<NP--PP> ==> NP VP|<-PP> [1.0]
S ==> `` S|<PP-,-NP-VP-.-''> [2.11260166896E-4]
S|<NP-,-SBAR-,-VP> ==> NP S|<,-SBAR-,-VP> [1.0]
NP ==> NP NP|<RB-NN> [3.24685866424E-5]
NP ==> DT NP|<NNP-NN> [0.0051300366895]
NP|<,-NN-CC-NNS> ==> , NP|<NN-CC-NNS> [1.0]
NP ==> VBG NX [3.24685866424E-5]
NP ==> DT NP|<NN-,-NN-CC-NN-NNS-NN> [3.24685866424E-5]
PRN|<NN-:> ==> NN : [1.0]
PRN|<SINV-,> ==> SINV , [1.0]
PRN ==> : PRN|<CC-VP-:> [0.00334448160535]
NP|<NNS-NN-NN> ==> NNS NP|<NN-NN> [1.0]
VP|<ADVP-,-S> ==> ADVP VP|<,-S> [1.0]
S|<NP-VP-PRN> ==> NP S|<VP-PRN> [1.0]
NP|<VBG-NNP-NN> ==> VBG NP|<NNP-NN> [1.0]
NP|<NN-''-NNS> ==> NN NP|<''-NNS> [1.0]
VP|<NP-NP-,-PP> ==> NP VP|<NP-,-PP> [1.0]
NP|<DT-JJ-''-NN> ==> DT NP|<JJ-''-NN> [1.0]
VP ==> VBN VP|<PRT-SBAR> [6.90846286701E-5]
S|<PP-,-S-,-CC-S-.> ==> PP S|<,-S-,-CC-S-.> [1.0]
NP|<NNP-CC-NNP-NNPS> ==> NNP NP|<CC-NNP-NNPS> [1.0]
FRAG ==> FRAG FRAG|<:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-.> [0.0192307692308]
VP|<PP-PRN-S> ==> PP VP|<PRN-S> [1.0]
VP ==> VBD VP|<ADVP-,-PP-,-SBAR> [6.90846286701E-5]
VP|<,-FRAG> ==> , FRAG [1.0]
VP|<ADJP-SBAR> ==> ADJP SBAR [1.0]
NP ==> DT NP|<NN-PRN> [3.24685866424E-5]
NP ==> DT NP|<NNP-NN-NN-CC-NNS-NN> [3.24685866424E-5]
NP|<ADJP-''-NN> ==> ADJP NP|<''-NN> [1.0]
NP ==> DT NP|<JJ-NN-NN-NN-NN> [3.24685866424E-5]
NP ==> PRP$ NP|<JJ-CC-JJ-NNS> [3.24685866424E-5]
NP ==> JJR NN [7.14308906133E-4]
NP ==> DT NP|<NN-NNS-CC-NNS> [3.24685866424E-5]
PP ==> ADVP PP|<IN-S> [2.14546234714E-4]
QP|<RB-DT> ==> RB DT [1.0]
NP|<SBAR-.> ==> SBAR . [1.0]
VP ==> VBZ VP|<S-ADVP> [6.90846286701E-5]
NP|<,-NNP-NNP> ==> , NP|<NNP-NNP> [1.0]
VP ==> VB VP|<NP-ADVP-PP> [2.0725388601E-4]
NP|<NNPS-:-.> ==> NNPS NP|<:-.> [1.0]
